txt	label
趣味班会亲密度UP！团日活动之消防班会在这里，我们PPT展示；在这里，我们游戏接力；在这里，我们知识抢答；在这里，我感受到了大家的热情团结&笑声融入。暖暖的，很贴心土木五班欢乐多！	1
醉得好爽，半路差点摔个狗吃屎，哈哈哈哈哈哈，怎么没有挂	1
2015年11月24日，阴雨。社会终究还是残酷的，塞翁失马焉知非福，也许这也是件好事，但是我该如何安慰你，我最亲爱的宝贝。。。	1
他值得所有奇迹为他发生！	1
W//@1016zly小彤 :武汉加油[加油]//@喵喵喵喵哞 :三组 冲鸭[心]1.23//@赵丽颖 :#致敬疫情前线医护人员# 向所有医护人员致敬！愿大家都健康平安??	1
每次看中国队的比赛都很心塞，明明进球啦！早知道不看了，烦死！	0
感觉自己精心呵护多年的花朵🌺被人拿走了。	0
哥哥你在人物专访时说的那一句既然做就要做好，谈不到多高，把我的极限发挥出来就好这句话真的很激励我！而且有种醍醐灌顶的感觉，把我一直想不明白的道理就这么说通了，从明天开始会更加努力哒～我也想看看我的极限在哪呢，一起加油吧	1
今天最忧伤的消息是，蜀留香的抵用券，涨！价！了！	0
时议者云，月首以朝服临，不视朝可也。	1
电脑课学做视频，本来想给盐宝宝做一个大爱无疆的视频谁知道第一次视频丢了，第二次保存失败！哦买嘎，我不同意，我的心血，我的盐宝宝，麻麻对不起你	0
遇见一个白痴给我重做系统，现在好吧，什么资料都没了，然后什么都没保存，这可怎么办，	0
机长[给力]这反应，全油拉起1.最后那下风切变，机身整体忽然一沉。2.右起落架这么看应该是接地过载了。3.落下来后，得做后起落架结构探伤了。4.真TM吓人，估计我坐里面得吓死了，本来就恐飞。	0
"""嘶嘶嘶。。。""，我都快要被弄疯了"	0
加油啊?	1
感谢[心][心][心]	1
阿西8，原来家庭暴力的男人这么恐怖，好吓人，太吓人了！	0
我发现我🈶健忘症，只是选择性的记着一些我潜意识里想忘记得事情，但是事实是我把美好的都忘了，留下了一些不想记得的，重复播放。BTW，今天多年不见的发小和我说，你还喜欢HelloKitty啊？我说我之前有喜欢过吗，她说我小学一年级就开始喜欢了，我怎么完全不记得了呢	0
这大概是每天最开心的时候   希望大家都平平安安的	1
