txt	label
Doute que les autres les lisent. Lol. Je n'ai pas de disciples!	0
Est déprimé, rw est épuisé, aidez-moi ici! je suis désespéré	0
M'a coincé le doigt et ça fait vraiment mal.	0
Est-ce que cette réponse m'a été faite par vous-même ou par vous-même? Xd je ne dirais pas que vous faites beaucoup d'erreurs	1
Dieu est-ce que je ressens un tel âge d'âge? : P c'est juste 23:44 ...	1
J'aurais aimé être	0
Sortir avec la marque autour de la maison pour se préparer pour une semaine qui ne comprend pas une croisière.	0
Je suis tellement triste que vous vous sentez comme ça! J'espère que tu le rencontreras plus tard, il est totalement génial et gentil	0
Hélas, je n'ai pas de pimms	0
Merci d'avoir dit au revoir pleurer xxx	0
Rien vraiment vraiment ennuyé et malade	0
Yess, je comprends mal, assurez-vous que je suis plus disponible, pas de soucis	1
Oh oui, et minimiser le plateau serait aussi cool	1
Aimez votre titre de photo, l'homme chauve jouit d'un burrito géant après avoir chassé sa voiture remorquée. - photo:	1
Je ne pense pas pouvoir dormir tôt ce soir si je dois écrire une première histoire que je dois envoyer un courriel à Tom B4. Je pars pour les courses à 10h.	0
: Tsk tsk, homme. Vous demandez-vous de faire des choses encore? Maintenant, vous savez encore une autre raison pour laquelle je suis un idiot.	1
J'attend toujours mon téléphone x	0
Manque de te parler, dave	0
Merci, je vous remercie de vous voir revenir en arrière et vous avez raté votre temps pour rattraper le retard	1
Dis bonjour lol x	1
J'ai aussi une pizza ce soir.	1
Haha être ennuyé sur un samedi n'est pas drôle .... haha ​​j'ai appris la détresse hoedown alors ennuyé plus tôt	1
Est ravi de travailler pour la ville en un mois!	1
Il est mort sur la maison	0
Putain de travaux routiers à l'avant de notre maison	0
Ouais, je promets sebby (y) ouais, j'en arrive, mais je le fais, je ne peux pas te battre avec toi	0
Cela va être formidable. aller au lit	1
Oh, je vois que j'avais oublié de voler ma nourriture à domicile. Dépression stupide + mauvaise mémoire	0
Est sans le téléphone ... maintenant à dormir	0
Eepp je sais dd je suis si heureux !!! Yay ceci est juste bcuz vous avez le commentaire ms et j'obtiens le twitter un juste et carré	1
Consultez diigo pour pour Royaume-Uni & Gt; Une traduction d'information parlementaire, à moins que vous ne souhaitiez amener des seigneurs	1
Nous avons découvert que notre samedi gratuit n'est plus si gratuit. Dormir jusqu'à 8 heures du soir! Haha	0
: O omggg. Je déteste les inondations, nous obtenons beaucoup ici. j'ai très froid	0
L'empreinte carbone de Cisco est-elle énorme? Machines à combustible électronique alimentées par des combustibles fossiles! respectueux de l'environnement? Les chambres sont équipées d'un vélo-générateur! Oui!	1
J'ai supprimé ma photo accidentellement	0
je t'entends. Mais le bureau de crédit a probablement beaucoup plus et ils partagent cela avec les sociétés de cartes de crédit	0
Il suffit de lire un tas de tweets tfk trevor ... Il ne ressemble pas à un génial chrétien. L'ignorance surtout. Mais tfk est toujours pour moi.	0
Vous ne pouvez pas siroter la vodka! Non, il n'a pas eu de mal au genou - pas bon	0
Woo australia! Est-ce qu'il est allé à sydney? Le luxe et le luxe de Sydney Melbourne est arty. Je veux passer à melb.	0
